PID,TIMELINE,SCORE
146948076, Timeline 3 (Event Blocks),1
146972571, Timeline 3 (Event Blocks),0
146975491, Timeline 3 (Event Blocks),1
147001785, Timeline 3 (Event Blocks),1
147004721, Timeline 3 (Event Blocks),2
147051997, Timeline 3 (Event Blocks),2
147183355, Timeline 3 (Event Blocks),2
147307347, Timeline 3 (Event Blocks),0
147308681, Timeline 3 (Event Blocks),1
147328880, Timeline 3 (Event Blocks),2
147340531, Timeline 3 (Event Blocks),1
147430481, Timeline 3 (Event Blocks),1
147494993, Timeline 3 (Event Blocks),0
147558243, Timeline 3 (Event Blocks),1
147653631, Timeline 3 (Event Blocks),2
147752820, Timeline 3 (Event Blocks),2
147753370, Timeline 3 (Event Blocks),2
147842712, Timeline 3 (Event Blocks),1
147906122, Timeline 3 (Event Blocks),2
147914321, Timeline 3 (Event Blocks),2
147916593, Timeline 3 (Event Blocks),2
148060312, Timeline 3 (Event Blocks),2
148063802, Timeline 3 (Event Blocks),0
148063804, Timeline 3 (Event Blocks),0
148063807, Timeline 3 (Event Blocks),1
148072624, Timeline 3 (Event Blocks),1
148087855, Timeline 3 (Event Blocks),2
148088832, Timeline 3 (Event Blocks),2
148121369, Timeline 3 (Event Blocks),1
148121371, Timeline 3 (Event Blocks),0
148121544, Timeline 3 (Event Blocks),1
148121549, Timeline 3 (Event Blocks),0
148191331, Timeline 3 (Event Blocks),0
148225108, Timeline 3 (Event Blocks),0
148242096, Timeline 3 (Event Blocks),2
148250834, Timeline 3 (Event Blocks),1
148355343, Timeline 3 (Event Blocks),1
148379134, Timeline 3 (Event Blocks),2
148457705, Timeline 3 (Event Blocks),2
148463769, Timeline 3 (Event Blocks),2
148516311, Timeline 3 (Event Blocks),2
148547931, Timeline 3 (Event Blocks),1
148551719, Timeline 3 (Event Blocks),2
148552210, Timeline 3 (Event Blocks),0
148558714, Timeline 3 (Event Blocks),2
148561559, Timeline 3 (Event Blocks),2
148743058, Timeline 3 (Event Blocks),0
148768751, Timeline 3 (Event Blocks),2
148783679, Timeline 3 (Event Blocks),2
148784892, Timeline 3 (Event Blocks),1
148786365, Timeline 3 (Event Blocks),2
148796085, Timeline 3 (Event Blocks),1
148822625, Timeline 3 (Event Blocks),2
148904494, Timeline 3 (Event Blocks),2
148958404, Timeline 3 (Event Blocks),2
149094645, Timeline 3 (Event Blocks),2
149140946, Timeline 3 (Event Blocks),1
149185311, Timeline 3 (Event Blocks),2
149215102, Timeline 3 (Event Blocks),2
149353591, Timeline 3 (Event Blocks),2
149466211, Timeline 3 (Event Blocks),2
149508537, Timeline 3 (Event Blocks),1
149605649, Timeline 3 (Event Blocks),1
150389044, Timeline 3 (Event Blocks),0
150404083, Timeline 3 (Event Blocks),2
150404087, Timeline 3 (Event Blocks),1
150406438, Timeline 3 (Event Blocks),0
150461254, Timeline 3 (Event Blocks),0
150490423, Timeline 3 (Event Blocks),2
150502997, Timeline 3 (Event Blocks),2
150504800, Timeline 3 (Event Blocks),2
150506408, Timeline 3 (Event Blocks),1
150511275, Timeline 3 (Event Blocks),2
150520051, Timeline 3 (Event Blocks),1
150550616, Timeline 3 (Event Blocks),1
150595058, Timeline 3 (Event Blocks),2
150599446, Timeline 3 (Event Blocks),2
150614757, Timeline 3 (Event Blocks),2
150627078, Timeline 3 (Event Blocks),1
150630441, Timeline 3 (Event Blocks),2
150637363, Timeline 3 (Event Blocks),1
150639039, Timeline 3 (Event Blocks),2
150716670, Timeline 3 (Event Blocks),1
150743242, Timeline 3 (Event Blocks),2
150750066, Timeline 3 (Event Blocks),2
150825023, Timeline 3 (Event Blocks),1
150860818, Timeline 3 (Event Blocks),2
150877653, Timeline 3 (Event Blocks),2
150879454, Timeline 3 (Event Blocks),1
146201756, Timeline 4 (Density Graph + Event Blocks),1
