PID,TIMELINE,VIDEO,SUS
148242096, Timeline 3 (Event Blocks), VIRAT_S_0100,75
148242096, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,75
148242096, Timeline 1 (Base Interface), VIRAT_S_0400,75
148242096, Timeline 5 (Event Thumbnails), VIRAT_S_0500,75
148225108, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,47.5
148225108, Timeline 3 (Event Blocks), VIRAT_S_0100,47.5
148225108, Timeline 5 (Event Thumbnails), VIRAT_S_0102,55
148225108, Timeline 1 (Base Interface), VIRAT_S_0400,55
148225108, Timeline 2 (Density Graph), VIRAT_S_0500,57.5
148191331, Timeline 3 (Event Blocks), VIRAT_S_0002,25
148191331, Timeline 2 (Density Graph), VIRAT_S_0100,57.5
148191331, Timeline 1 (Base Interface), VIRAT_S_0102,62.5
148191331, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,67.5
148191331, Timeline 5 (Event Thumbnails), VIRAT_S_0500,97.5
148121549, Timeline 2 (Density Graph), VIRAT_S_0002,60
148121549, Timeline 3 (Event Blocks), VIRAT_S_0100,47.5
148121549, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,40
148121549, Timeline 5 (Event Thumbnails), VIRAT_S_0400,47.5
148121549, Timeline 1 (Base Interface), VIRAT_S_0500,52.5
148121544, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,45
148121544, Timeline 2 (Density Graph), VIRAT_S_0100,52.5
148121544, Timeline 3 (Event Blocks), VIRAT_S_0102,52.5
148121544, Timeline 5 (Event Thumbnails), VIRAT_S_0400,45
148121544, Timeline 1 (Base Interface), VIRAT_S_0500,47.5
148121371, Timeline 1 (Base Interface), VIRAT_S_0002,47.5
148121371, Timeline 2 (Density Graph), VIRAT_S_0100,52.5
148121371, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,52.5
148121371, Timeline 5 (Event Thumbnails), VIRAT_S_0400,47.5
148121371, Timeline 3 (Event Blocks), VIRAT_S_0500,52.5
148121369, Timeline 5 (Event Thumbnails), VIRAT_S_0002,45
148121369, Timeline 1 (Base Interface), VIRAT_S_0100,42.5
148121369, Timeline 3 (Event Blocks), VIRAT_S_0102,50
148121369, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,50
148121369, Timeline 2 (Density Graph), VIRAT_S_0500,47.5
148088832, Timeline 5 (Event Thumbnails), VIRAT_S_0002,65
148088832, Timeline 1 (Base Interface), VIRAT_S_0100,52.5
148088832, Timeline 2 (Density Graph), VIRAT_S_0102,55
148088832, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,82.5
148088832, Timeline 3 (Event Blocks), VIRAT_S_0500,75
148087855, Timeline 5 (Event Thumbnails), VIRAT_S_0002,100
148087855, Timeline 2 (Density Graph), VIRAT_S_0100,100
148087855, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,100
148087855, Timeline 3 (Event Blocks), VIRAT_S_0400,100
148087855, Timeline 1 (Base Interface), VIRAT_S_0500,92.5
148072624, Timeline 1 (Base Interface), VIRAT_S_0002,75
148072624, Timeline 5 (Event Thumbnails), VIRAT_S_0100,75
148072624, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,77.5
148072624, Timeline 2 (Density Graph), VIRAT_S_0400,72.5
148072624, Timeline 3 (Event Blocks), VIRAT_S_0500,75
148063804, Timeline 2 (Density Graph), VIRAT_S_0002,52.5
148063804, Timeline 3 (Event Blocks), VIRAT_S_0100,55
148063804, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,45
148063804, Timeline 5 (Event Thumbnails), VIRAT_S_0400,55
148063804, Timeline 1 (Base Interface), VIRAT_S_0500,55
148063806, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,55
148063806, Timeline 3 (Event Blocks), VIRAT_S_0100,47.5
148063806, Timeline 1 (Base Interface), VIRAT_S_0102,52.5
148063806, Timeline 5 (Event Thumbnails), VIRAT_S_0400,50
148063806, Timeline 2 (Density Graph), VIRAT_S_0500,50
148063807, Timeline 1 (Base Interface), VIRAT_S_0002,52.5
148063807, Timeline 5 (Event Thumbnails), VIRAT_S_0100,50
148063807, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,52.5
148063807, Timeline 3 (Event Blocks), VIRAT_S_0400,52.5
148063807, Timeline 2 (Density Graph), VIRAT_S_0500,52.5
148063808, Timeline 3 (Event Blocks), VIRAT_S_0002,52.5
148063808, Timeline 2 (Density Graph), VIRAT_S_0100,50
148063808, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,55
148063808, Timeline 5 (Event Thumbnails), VIRAT_S_0400,55
148063808, Timeline 1 (Base Interface), VIRAT_S_0500,52.5
148063802, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,52.5
148063802, Timeline 2 (Density Graph), VIRAT_S_0100,52.5
148063802, Timeline 5 (Event Thumbnails), VIRAT_S_0102,50
148063802, Timeline 3 (Event Blocks), VIRAT_S_0400,52.5
148063802, Timeline 1 (Base Interface), VIRAT_S_0500,52.5
148060312, Timeline 2 (Density Graph), VIRAT_S_0002,30
148060312, Timeline 5 (Event Thumbnails), VIRAT_S_0100,55
148060312, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,75
148060312, Timeline 1 (Base Interface), VIRAT_S_0400,47.5
148060312, Timeline 3 (Event Blocks), VIRAT_S_0500,67.5
147916593, Timeline 5 (Event Thumbnails), VIRAT_S_0002,77.5
147916593, Timeline 3 (Event Blocks), VIRAT_S_0100,85
147916593, Timeline 1 (Base Interface), VIRAT_S_0102,70
147916593, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,80
147916593, Timeline 2 (Density Graph), VIRAT_S_0500,75
147914321, Timeline 2 (Density Graph), VIRAT_S_0002,60
147914321, Timeline 5 (Event Thumbnails), VIRAT_S_0100,75
147914321, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,60
147914321, Timeline 1 (Base Interface), VIRAT_S_0400,82.5
147914321, Timeline 3 (Event Blocks), VIRAT_S_0500,82.5
147906122, Timeline 3 (Event Blocks), VIRAT_S_0002,45
147906122, Timeline 2 (Density Graph), VIRAT_S_0100,35
147906122, Timeline 5 (Event Thumbnails), VIRAT_S_0102,67.5
147906122, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,65
147906122, Timeline 1 (Base Interface), VIRAT_S_0500,55
147842712, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,40
147842712, Timeline 5 (Event Thumbnails), VIRAT_S_0100,55
147842712, Timeline 3 (Event Blocks), VIRAT_S_0102,50
147842712, Timeline 1 (Base Interface), VIRAT_S_0400,77.5
147842712, Timeline 2 (Density Graph), VIRAT_S_0500,80
147753370, Timeline 1 (Base Interface), VIRAT_S_0002,65
147753370, Timeline 2 (Density Graph), VIRAT_S_0100,60
147753370, Timeline 3 (Event Blocks), VIRAT_S_0102,87.5
147753370, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,57.5
147753370, Timeline 5 (Event Thumbnails), VIRAT_S_0500,87.5
147752820, Timeline 1 (Base Interface), VIRAT_S_0002,35
147752820, Timeline 2 (Density Graph), VIRAT_S_0100,45
147752820, Timeline 5 (Event Thumbnails), VIRAT_S_0102,77.5
147752820, Timeline 3 (Event Blocks), VIRAT_S_0400,75
147752820, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500,75
147653631, Timeline 1 (Base Interface), VIRAT_S_0002,80
147653631, Timeline 3 (Event Blocks), VIRAT_S_0100,82.5
147653631, Timeline 5 (Event Thumbnails), VIRAT_S_0102,100
147653631, Timeline 2 (Density Graph), VIRAT_S_0400,80
147653631, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500,100
147558243, Timeline 2 (Density Graph), VIRAT_S_0002,32.5
147558243, Timeline 5 (Event Thumbnails), VIRAT_S_0100,72.5
147558243, Timeline 3 (Event Blocks), VIRAT_S_0102,45
147558243, Timeline 1 (Base Interface), VIRAT_S_0400,80
147558243, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500,67.5
147494993, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,45
147494993, Timeline 1 (Base Interface), VIRAT_S_0100,50
147494993, Timeline 3 (Event Blocks), VIRAT_S_0102,47.5
147494993, Timeline 2 (Density Graph), VIRAT_S_0400,47.5
147494993, Timeline 5 (Event Thumbnails), VIRAT_S_0500,45
147430481, Timeline 3 (Event Blocks), VIRAT_S_0002,72.5
147430481, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0100,57.5
147430481, Timeline 1 (Base Interface), VIRAT_S_0102,77.5
147430481, Timeline 2 (Density Graph), VIRAT_S_0400,52.5
147430481, Timeline 5 (Event Thumbnails), VIRAT_S_0500,45
147340531, Timeline 5 (Event Thumbnails), VIRAT_S_0002,65
147340531, Timeline 1 (Base Interface), VIRAT_S_0100,60
147340531, Timeline 3 (Event Blocks), VIRAT_S_0102,67.5
147340531, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,67.5
147340531, Timeline 2 (Density Graph), VIRAT_S_0500,70
147328880, Timeline 2 (Density Graph), VIRAT_S_0002,77.5
147328880, Timeline 3 (Event Blocks), VIRAT_S_0100,82.5
147328880, Timeline 1 (Base Interface), VIRAT_S_0102,60
